年月日時,気温
2024/3/1 00:00:00,7
2024/3/1 1:00:00,7
2024/3/1 2:00:00,6.7
2024/3/1 3:00:00,6
2024/3/1 4:00:00,5.4
2024/3/1 5:00:00,4.4
2024/3/1 6:00:00,3.8
2024/3/1 7:00:00,4.2
2024/3/1 8:00:00,5
2024/3/1 9:00:00,6.3
2024/3/1 10:00:00,8.7
2024/3/1 11:00:00,12.2
2024/3/1 12:00:00,14.5
2024/3/1 13:00:00,16
2024/3/1 14:00:00,16
2024/3/1 15:00:00,15.7
2024/3/1 16:00:00,14.6
2024/3/1 17:00:00,13.2
2024/3/1 18:00:00,11.4
2024/3/1 19:00:00,11.6
2024/3/1 20:00:00,11
2024/3/1 21:00:00,11.7
2024/3/1 22:00:00,10.9
2024/3/1 23:00:00,10.6
