Time,Price
9:00:01,1906.5
9:00:02,1904.5
9:00:04,1905.5
9:00:06,1905.5
9:00:08,1905.5
9:00:10,1906
9:00:11,1906
9:00:14,1905.5
9:00:16,1906.5
9:00:18,1906.5
9:00:21,1908.5
9:00:23,1907
9:00:25,1908
9:00:27,1907.5
9:00:29,1908
9:00:31,1908
9:00:32,1907.5
9:00:35,1907.5
9:00:37,1908
9:00:38,1909
9:00:40,1909
9:00:42,1908.5
9:00:44,1910
9:00:46,1910.5
9:00:48,1911
9:00:50,1910
9:00:52,1910.5
9:00:54,1910
9:00:56,1909
9:00:59,1908
9:01:01,1906
9:01:03,1906.5
9:01:05,1905.5
9:01:07,1907.5
9:01:09,1908
9:01:11,1910
9:01:12,1910
9:01:14,1908.5
9:01:16,1909
9:01:18,1910
9:01:20,1908.5
9:01:22,1908.5
9:01:24,1908
9:01:26,1906.5
9:01:28,1908
9:01:30,1907.5
9:01:32,1907
9:01:35,1908
9:01:37,1907
9:01:39,1907
9:01:41,1906
9:01:43,1906.5
9:01:44,1907.5
9:01:46,1906
9:01:48,1906
9:01:50,1906
9:01:52,1907.5
9:01:54,1907.5
9:01:56,1908
9:01:58,1908
9:02:00,1909
9:02:02,1908.5
9:02:04,1909.5
9:02:06,1909
9:02:08,1909
9:02:10,1908.5
9:02:13,1909.5
9:02:15,1909.5
9:02:16,1909
9:02:19,1909.5
9:02:21,1909.5
9:02:22,1909
9:02:24,1909.5
9:02:26,1909.5
9:02:28,1909
9:02:30,1910.5
9:02:32,1913
9:02:34,1913
9:02:36,1913.5
9:02:38,1914
9:02:40,1914.5
9:02:42,1914
9:02:44,1914
9:02:47,1913
9:02:48,1913
9:02:51,1914
9:02:53,1913.5
9:02:55,1913.5
9:02:57,1914
9:02:58,1913.5
9:03:00,1913.5
9:03:02,1913
9:03:04,1912.5
9:03:06,1912.5
9:03:08,1913.5
9:03:11,1915
9:03:12,1917
9:03:14,1916.5
9:03:16,1916
9:03:19,1916.5
9:03:20,1916
9:03:23,1917.5
9:03:25,1917
9:03:27,1916.5
9:03:29,1916.5
9:03:31,1917
9:03:33,1917.5
9:03:34,1917
9:03:36,1918
9:03:38,1917.5
9:03:40,1917
9:03:42,1917.5
9:03:44,1917.5
9:03:46,1916.5
9:03:48,1916
9:03:50,1916.5
9:03:52,1916.5
9:03:55,1916.5
9:03:57,1916
9:03:58,1916
9:04:01,1916.5
9:04:03,1917
9:04:05,1916
9:04:07,1915
9:04:09,1915.5
9:04:10,1915.5
9:04:13,1916
9:04:14,1916
9:04:16,1917
9:04:18,1918
9:04:21,1918
9:04:22,1918
9:04:24,1918
9:04:27,1918
9:04:29,1918
9:04:30,1918
9:04:33,1918
9:04:35,1917
9:04:36,1917
9:04:39,1917.5
9:04:40,1917.5
9:04:43,1916.5
9:04:45,1917
9:04:47,1917
9:04:49,1916
9:04:51,1916
9:04:52,1916
9:04:54,1916.5
9:04:56,1916.5
9:04:58,1917
9:05:01,1917.5
9:05:03,1917.5
9:05:05,1918
9:05:06,1917.5
9:05:09,1916
9:05:11,1916.5
9:05:13,1916
9:05:14,1916
9:05:17,1915.5
9:05:19,1915.5
9:05:21,1915.5
9:05:23,1915.5
9:05:25,1915.5
9:05:27,1915
9:05:29,1915.5
9:05:30,1914.5
9:05:32,1914.5
9:05:34,1914
9:05:37,1914
9:05:38,1914
9:05:40,1914
9:05:43,1914.5
9:05:45,1915.5
9:05:47,1915.5
9:05:49,1915.5
9:05:51,1916.5
9:05:53,1914.5
9:05:55,1914.5
9:05:57,1915
9:05:59,1915
9:06:01,1915.5
9:06:03,1914.5
9:06:05,1914.5
9:06:06,1914
9:06:08,1914
9:06:11,1913.5
9:06:13,1913
9:06:14,1913
9:06:17,1913.5
9:06:18,1913.5
9:06:20,1914
9:06:22,1913.5
9:06:24,1913.5
9:06:27,1913.5
9:06:29,1913
9:06:31,1912.5
9:06:33,1912.5
9:06:35,1912.5
9:06:37,1912.5
9:06:40,1912.5
9:06:41,1912.5
9:06:43,1911.5
9:06:44,1911.5
9:06:46,1911.5
9:06:49,1911
9:06:50,1911.5
9:06:53,1910.5
9:06:55,1910.5
9:06:57,1910
9:06:58,1910
9:07:01,1910
9:07:03,1910
9:07:05,1911
9:07:07,1910.5
9:07:08,1911
9:07:12,1911
9:07:13,1911
9:07:16,1910.5
9:07:19,1911
9:07:21,1910.5
9:07:23,1910
9:07:24,1910
9:07:27,1910
9:07:29,1909.5
9:07:31,1909
9:07:33,1909
9:07:35,1908.5
9:07:37,1908.5
9:07:38,1908.5
9:07:41,1908.5
9:07:43,1908.5
9:07:45,1908.5
9:07:47,1908.5
9:07:49,1908.5
9:07:52,1909
9:07:53,1909
9:07:55,1908.5
9:07:56,1908
9:07:59,1908.5
9:08:01,1910
9:08:03,1911
9:08:04,1911
9:08:07,1910.5
9:08:09,1911.5
9:08:11,1911.5
9:08:13,1910.5
9:08:15,1910
9:08:17,1911
9:08:19,1911
9:08:21,1911
9:08:23,1911
9:08:25,1911
9:08:28,1911.5
9:08:29,1911.5
9:08:30,1912
9:08:32,1911
9:08:35,1911.5
9:08:37,1913
9:08:38,1912.5
9:08:41,1912
9:08:42,1911
9:08:45,1911.5
9:08:47,1911.5
9:08:49,1911.5
9:08:51,1911.5
9:08:52,1912
9:08:55,1912.5
9:08:57,1912
9:08:59,1911.5
9:09:01,1911
9:09:04,1910.5
9:09:05,1911
9:09:06,1910.5
9:09:08,1911
9:09:11,1911.5
9:09:12,1911.5
9:09:15,1911
9:09:17,1912
9:09:18,1911.5
9:09:21,1911
9:09:23,1911
9:09:25,1910.5
9:09:27,1910.5
9:09:29,1910.5
9:09:31,1911
9:09:32,1911
9:09:38,1911
9:09:41,1911
9:09:42,1911
9:09:44,1910.5
9:09:46,1910.5
9:09:49,1910.5
9:09:50,1910.5
9:09:52,1911
9:09:54,1911
9:09:55,1911
9:09:58,1911.5
9:10:00,1911.5
9:10:03,1912.5
9:10:05,1911.5
9:10:06,1910.5
9:10:08,1910.5
9:10:10,1910.5
9:10:12,1911
9:10:15,1911
9:10:17,1910.5
9:10:19,1909
9:10:21,1909.5
9:10:23,1909.5
9:10:25,1909.5
9:10:26,1910
9:10:28,1909.5
9:10:30,1909.5
9:10:32,1910
9:10:34,1910
9:10:36,1909.5
9:10:38,1909.5
9:10:41,1910
9:10:42,1910
9:10:44,1910
9:10:46,1910.5
9:10:47,1910
9:10:50,1910.5
9:10:52,1910.5
9:10:54,1910
9:10:57,1910.5
9:10:59,1910.5
9:11:00,1910.5
9:11:03,1911
9:11:04,1911.5
9:11:07,1911.5
9:11:08,1911
9:11:10,1911
